item.id,german,bulgarian,partOfSpeech,currentCategories,proposedCategories,ambiguityFlag,notes,reviewer,reviewStatus,batchId
"a1_adj_017_dup1","hässlich","Грозен","phrase","uncategorized",,,,,,
"a1_verb_017","finden","Намирам","phrase","uncategorized",,,,,,
"a1_verb_071","haben","Имам","phrase","uncategorized",,,,,,
"a1_adj_032","schwer, schwierig","Труден","phrase","uncategorized",,,,,,
"a1_adj_055","hart","Твърд","phrase","uncategorized",,,,,,
"zusammen_bg_zaedno_sample","zusammen","заедно","adverb","uncategorized",,,,,,
"a1_final_010","Land/Seite","Страна","phrase","uncategorized",,,,,,
"a1_final_015","Wasser","Вода","phrase","uncategorized",,,,,,
"a1_adj_026","arm","Беден","phrase","uncategorized",,,,,,
"a1_adverb_018_dup1","hier","Тук","phrase","uncategorized",,,,,,
"a1_adj_051","geschlossen","Затворен","phrase","uncategorized",,,,,,
"lew","Lew","Лев","phrase","uncategorized",,,,,,
"a1_verb_048","arbeiten","Работя","phrase","uncategorized",,,,,,
"a1_verb_008","sprechen / reden","Говоря","phrase","uncategorized",,,,,,
"a1_final_005","Problem","Проблем","phrase","uncategorized",,,,,,
"a1_final_013","Luft","Въздух","phrase","uncategorized",,,,,,
"mensch","Mensch","Човек","noun","uncategorized",,,,,,
"a1_adj_042","bereit, fertig","Готов","phrase","uncategorized",,,,,,
"a1_verb_005","sehen","Видя","phrase","uncategorized",,,,,,
"a1_adj_050","offen, geöffnet","Отворен","phrase","uncategorized",,,,,,
"a1_verb_075","machen, tun (perfektiv)","Направя","phrase","uncategorized",,,,,,
"a1_verb_045_dup1","kaufen","Купувам","phrase","uncategorized",,,,,,
"a1_final_023","Geräusch/Klang","Звук","phrase","uncategorized",,,,,,
"a1_adj_056","glatt","Гладък","phrase","uncategorized",,,,,,
"a1_final_025","Lärm","Шум","phrase","uncategorized",,,,,,
"a1_verb_011_dup1","schreiben","Пиша","phrase","uncategorized",,,,,,
"a1_verb_048_dup1","arbeiten","Работя","phrase","uncategorized",,,,,,
"stuhl","Stuhl","Стол","noun","home",,,,,,
"a1_adj_040","krank","Болен","phrase","uncategorized",,,,,,
"a1_verb_081","finden (perfektiv)","Намеря","phrase","uncategorized",,,,,,
"a1_final_016","Eis","Лед","phrase","uncategorized",,,,,,
"a1_noun_030","der Stuhl","Стол","phrase","uncategorized",,,,,,
"a1_noun_028","das Buch","Книга","phrase","uncategorized",,,,,,
"a1_adj_057","rau, grob","Груб","phrase","uncategorized",,,,,,
"kuche","Küche","Кухня","noun","food,home",,,,,,
"a1_verb_057","denken, meinen","Мисля","phrase","uncategorized",,,,,,
"a1_adj_008_dup1","groß","Голям","phrase","uncategorized",,,,,,
"entschuldige","Entschuldige","Извинявай","phrase","uncategorized",,,,,,
"a1_verb_006","können","Мога","phrase","uncategorized",,,,,,
"dom_003","Haus","дом","phrase","home",,,,,,
"es_tut_mir_leid","Es tut mir leid","Съжалявам","phrase","everyday-phrases",,,,,,
"a1_final_012","Erde","Земя","phrase","uncategorized",,,,,,
"a1_final_024","Stimme","Глас","phrase","uncategorized",,,,,,
"a1_final_003","Antwort","Отговор","phrase","uncategorized",,,,,,
"a1_noun_033","die Straße","Улица","phrase","uncategorized",,,,,,
"a1_final_045","Ergebnis","Резултат","phrase","uncategorized",,,,,,
"a1_final_004","Frage","Въпрос","phrase","uncategorized",,,,,,
